Wall time,Step,Value
1783287296.029323,1327104,367.7171630859375
1783287363.9036522,1335296,363.5123291015625
1783287433.090821,1343488,368.5119934082031
1783287501.1911995,1351680,377.6645812988281
1783287569.3939905,1359872,375.158203125
1783287683.9803917,1368064,367.9302978515625
1783287753.1425605,1376256,366.7476806640625
1783287821.5211365,1384448,369.5705871582031
1783287890.5121202,1392640,366.2294921875
1783288005.331459,1400832,369.4915771484375
1783288074.2205675,1409024,365.71124267578125
1783288142.9195526,1417216,366.2591857910156
1783288211.2764447,1425408,360.41259765625
1783288279.7754252,1433600,356.87359619140625
1783288391.9535177,1441792,362.7413024902344
1783288460.5085542,1449984,366.1901550292969
1783288529.3169546,1458176,368.06695556640625
1783288597.8278475,1466368,368.99981689453125
1783288665.6101742,1474560,357.38836669921875
1783288780.0663526,1482752,357.6477355957031
1783288848.4493926,1490944,360.988525390625
1783288917.1612997,1499136,359.4444274902344
1783288985.574816,1507328,365.42169189453125
1783289053.794659,1515520,364.64727783203125
1783289159.7650537,1523712,368.52532958984375
1783289228.171157,1531904,375.91314697265625
1783289296.3049645,1540096,372.62054443359375
1783289365.0266693,1548288,374.77801513671875
1783289433.3116353,1556480,376.5768737792969
1783289547.7098556,1564672,382.4216003417969
1783289616.4685714,1572864,385.3414001464844
1783289685.4223783,1581056,388.4358215332031
1783289753.6275113,1589248,387.6634826660156
1783289821.8419297,1597440,393.8899841308594
1783289935.949734,1605632,392.5009765625
1783290004.1309867,1613824,406.57037353515625
1783290072.800795,1622016,398.1895751953125
1783290142.1928952,1630208,378.6862487792969
1783290211.1358986,1638400,378.8487243652344
1783290322.5104523,1646592,376.0163879394531
1783290390.5422068,1654784,387.1945495605469
1783290458.9703503,1662976,386.7436218261719
1783290527.4732323,1671168,389.5050354003906
1783290596.1008205,1679360,388.1026306152344
1783290703.7510118,1687552,380.1097106933594
1783290772.4505382,1695744,371.18023681640625
1783290841.0219288,1703936,374.6100769042969
1783290909.4226038,1712128,374.0787048339844
1783291023.9017758,1720320,383.5611572265625
1783291092.376946,1728512,389.15997314453125
1783291160.9943302,1736704,388.0937805175781
1783291229.816339,1744896,388.1905212402344
1783291299.1036923,1753088,374.72174072265625
1783291413.4834137,1761280,373.4132080078125
1783291482.1158545,1769472,370.6529846191406
1783291550.3005207,1777664,380.9986877441406
1783291618.6348433,1785856,385.8426208496094
1783291687.1678853,1794048,396.99090576171875
1783291796.0149615,1802240,390.2293701171875
1783291864.2857733,1810432,399.3973388671875
1783291932.7372518,1818624,404.7864990234375
1783292000.7270813,1826816,404.09796142578125
1783292068.7125025,1835008,407.2220764160156
1783292183.0029376,1843200,410.67572021484375
1783292251.2070997,1851392,417.86639404296875
1783292319.3429704,1859584,421.3954162597656
1783292388.0401154,1867776,428.57940673828125
1783292456.3298817,1875968,425.73345947265625
1783292571.2951057,1884160,423.47625732421875
1783292640.0959458,1892352,427.3708190917969
1783292708.193835,1900544,433.1271057128906
1783292776.9942558,1908736,433.7908020019531
1783292845.9653106,1916928,426.401611328125
1783292961.161898,1925120,418.46240234375
1783293029.809433,1933312,416.706298828125
1783293097.9780257,1941504,413.44549560546875
1783293166.9122949,1949696,413.9898681640625
1783293235.190807,1957888,403.8459777832031
1783293349.6487536,1966080,408.40869140625
1783293418.0414932,1974272,406.4030456542969
1783293486.094165,1982464,404.47625732421875
1783293554.404872,1990656,396.0843200683594
1783293623.0084128,1998848,373.8445739746094
1783293729.5222635,2007040,374.3208312988281
